"","CMPLNT_NUM","ADDR_PCT_CD","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","JURISDICTION_CODE","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PATROL_BORO","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","New Georeferenced Column","Zip Codes","Community Districts","Borough Boundaries","City Council Districts","Police Precincts"
"1","272924275",121,"STATEN ISLAND","01/01/2022",12:00:00,"08/01/2023","15:00:00","COMPLETED",0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY","PATROL BORO STATEN ISLAND",420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","RESIDENCE-HOUSE","08/15/2023","(null)","(null)","(null)","45-64","WHITE","M",947720,165071,40.619685,-74.131582,"(40.619685, -74.131582)","POINT (-74.131582 40.619685)",10700,4,1,14,74
"2","264697665",123,"STATEN ISLAND","01/01/2022",15:00:00,"02/01/2023","15:00:00","COMPLETED",0,"N.Y. POLICE DEPT",112,"FELONY","FRONT OF","THEFT-FRAUD","PATROL BORO STATEN ISLAND",739,"FRAUD,UNCLASSIFIED-FELONY","RESIDENCE-HOUSE","03/08/2023","UNKNOWN","UNKNOWN","U","65+","WHITE","M",914157,125255,40.510195,-74.252067,"(40.510195, -74.252067)","POINT (-74.252067 40.510195)",10694,15,1,9,77
"3","266552762",122,"STATEN ISLAND","01/01/2022",08:00:00,"12/31/2022","23:00:00","COMPLETED",0,"N.Y. POLICE DEPT",340,"MISDEMEANOR","INSIDE","FRAUDS","PATROL BORO STATEN ISLAND",718,"FRAUD,UNCLASSIFIED-MISDEMEANOR","RESIDENCE-HOUSE","04/11/2023","(null)","(null)","(null)","25-44","WHITE","M",946959,147208,40.570651,-74.134224,"(40.570651, -74.134224)","POINT (-74.134224 40.570651)",10693,15,1,14,76
"4","261525162",123,"STATEN ISLAND","01/01/2022",09:28:00,NA,"(null)","COMPLETED",0,"N.Y. POLICE DEPT",121,"FELONY","INSIDE","CRIMINAL MISCHIEF & RELATED OF","PATROL BORO STATEN ISLAND",269,"MISCHIEF,CRIMINAL,    UNCL 2ND","RESIDENCE-HOUSE","01/07/2023","25-44","WHITE","M","25-44","WHITE","F",937886,137636,40.544336,-74.166817,"(40.544336, -74.166817)","POINT (-74.166817 40.544336)",10699,15,1,9,77
"5","268882462",18,"MANHATTAN","01/01/2022",16:00:00,"05/25/2023","16:00:00","COMPLETED",0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY","PATROL BORO MAN SOUTH",349,"LARCENY,PETIT OF LICENSE PLATE","RESIDENCE-HOUSE","05/25/2023","(null)","(null)","(null)","25-44","WHITE","M",986636,219001,40.767785,-73.991385,"(40.767785, -73.991385)","POINT (-73.991385 40.767785)",12081,12,4,10,10
"6","265924032",62,"BROOKLYN","01/01/2022",07:00:00,"03/30/2023","13:00:00","COMPLETED",0,"N.Y. POLICE DEPT",361,"MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &","PATROL BORO BKLYN SOUTH",639,"AGGRAVATED HARASSMENT 2","(null)","03/30/2023","25-44","UNKNOWN","M","18-24","WHITE HISPANIC","F",986486,164873,40.619216,-73.991944,"(40.619216, -73.991944)","POINT (-73.991944 40.619216)",16867,1,2,7,37
"7","267180238",9,"MANHATTAN","01/01/2022",00:01:00,"01/07/2022","23:59:00","COMPLETED",0,"N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","PATROL BORO MAN SOUTH",153,"RAPE 3","(null)","04/24/2023","25-44","WHITE","M","18-24","WHITE","F",987496,203963,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)","POINT (-73.9882902437563 40.7265156408036)",11724,70,4,50,5
"8","263184682",13,"MANHATTAN","01/01/2022",20:00:00,"08/01/2022","20:00:00","COMPLETED",0,"N.Y. POLICE DEPT",233,"MISDEMEANOR","INSIDE","SEX CRIMES","PATROL BORO MAN SOUTH",170,"SEXUAL MISCONDUCT,INTERCOURSE","HOMELESS SHELTER","02/07/2023","<18","UNKNOWN","M","<18","BLACK HISPANIC","F",988886,207857,40.7372030985741,-73.9832725981497,"(40.7372030985741, -73.9832725981497)","POINT (-73.9832725981497 40.7372030985741)",12073,71,4,50,7
"9","267868210",18,"MANHATTAN","01/01/2022",06:40:00,"01/01/2022","06:45:00","COMPLETED",0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","(null)","PETIT LARCENY","PATROL BORO MAN SOUTH",349,"LARCENY,PETIT OF LICENSE PLATE","STREET","05/07/2023","(null)","(null)","(null)","45-64","WHITE","F",991907,214890,40.75649655,-73.97236197,"(40.75649655, -73.97236197)","POINT (-73.97236197 40.75649655)",12079,71,4,51,9
"10","273617883",17,"MANHATTAN","01/01/2022",12:00:00,"08/23/2023","14:00:00","COMPLETED",0,"N.Y. POLICE DEPT",340,"MISDEMEANOR","INSIDE","FRAUDS","PATROL BORO MAN SOUTH",718,"FRAUD,UNCLASSIFIED-MISDEMEANOR","RESIDENCE - APT. HOUSE","08/29/2023","UNKNOWN","UNKNOWN","U","65+","WHITE","F",993804,215030,40.756881,-73.965514,"(40.756881, -73.965514)","POINT (-73.965514 40.756881)",12419,71,4,51,9
